	type	p_corr	r_sim	seq_iden
6621	ortholog	-0.22800686007050364	0.42746866904251535	0.7923566878980892
2135	ortholog	0.6740094455444396	0.941471794106084	0.5732838589981447
7924	ortholog	0.02376429569648254	0.858905747634372	0.8405797101449275
4284	ortholog	0.8376738926893514	0.6853965466783729	0.7668539325842697
5336	ortholog	0.8517606102668223	0.7501467921057775	0.6501547987616099
8583	ortholog	0.31804974078665466	0.6099251642662373	0.7547169811320755
1011	ortholog	0.10926229834648848	0.43019559763914983	0.7927170868347339
6014	ortholog	0.9714221537565604	0.8231960540446513	0.6240208877284595
7125	ortholog	0.5051091484796361	0.6157082654918112	0.8043478260869565
973	ortholog	0.24066426322594894	0.921493507895499	0.9427987742594485
204	ortholog	0.936386648330717	0.9072428135527949	0.9477434679334917
2978	ortholog	0.20948817137661482	0.8081761250397337	0.8925143953934741
6733	ortholog	0.9502170623359565	0.8868657193711795	0.8169014084507042
6911	ortholog	0.27351127100363326	0.99070548077379	0.7142857142857143
4806	ortholog	0.9815655851689704	0.8352730561206123	0.7578125
8137	ortholog	0.44440555331305276	0.7009875344018132	0.8357588357588358
3161	ortholog	0.4655466584078962	0.8169220247575695	0.7156862745098039
6472	ortholog	0.3416972703509829	0.4783101405913759	0.9285714285714286
5803	ortholog	0.9555633382696864	0.9721985032473709	0.9117043121149897
9119	ortholog	0.4966326752699838	0.9044207266136	0.7214285714285714
7936	ortholog	0.9507457294552519	0.4895152251074164	0.7142857142857143
8284	ortholog	0.8354947581604238	0.9883498414743876	0.7395411605937922
4476	ortholog	0.4243806339014764	0.5373976397956151	0.41379310344827586
4007	ortholog	0.8789270416914177	0.7317237073730769	0.7674418604651163
7076	ortholog	-0.019540670964229394	0.6100123481082556	0.8759018759018758
3806	ortholog	-0.05284945162749912	0.7033625436445472	0.9834710743801653
3507	ortholog	0.5315194500038163	0.8472469632469009	0.7562189054726368
1068	ortholog	-0.3560661074594565	0.6360360500701713	0.819330385344283
8724	ortholog	0.5898854944009589	0.7913418633934752	0.8271276595744681
9058	ortholog	0.48241758902935444	0.6564924842372759	0.7302798982188295
6272	ortholog	0.12373991821564152	0.837202354683211	0.9174603174603174
6433	ortholog	0.9684936150006223	0.9311321116609464	0.8533333333333334
4712	ortholog	0.8103486759728065	0.7636599980153471	0.5047528517110266
4905	ortholog	0.9258940572994683	0.8133768561138657	0.7961956521739131
8474	ortholog	0.920643558924518	0.9422263349060654	0.8791208791208791
3775	ortholog	-0.24358877990086364	0.4609913834057189	0.8286516853932584
4829	ortholog	0.48776116585649004	0.9689946271156122	0.8950064020486556
3295	ortholog	0.7793336250760886	0.7439845609442722	0.6122594440484675
2650	ortholog	0.41433524744608374	0.5517058255717762	0.6618075801749271
7431	ortholog	0.9467416634102298	0.8160931664264749	0.9759450171821306
4397	ortholog	0.9375132585828103	0.7735222880944215	0.8673469387755102
2165	ortholog	0.05934939278891683	0.7224704571696132	0.7906976744186046
2464	ortholog	0.958270814544718	0.8386554039627915	0.7946257197696737
8726	ortholog	0.4419127754583486	0.6544226779337357	0.91
1214	ortholog	0.6248601833449764	0.8607737720403024	0.8583106267029973
1573	ortholog	0.985500425209695	0.8471811294911289	0.8910256410256411
5926	ortholog	0.15645082457580972	0.49537556374625114	0.5057736720554272
1720	ortholog	0.5872013832773683	0.7188228216943735	0.8992537313432836
2151	ortholog	0.37825919725169355	0.6030550275365356	0.9241011984021305
6936	ortholog	0.6394730012755958	0.8010242008565291	0.6835637480798771
4882	ortholog	0.6507596748497164	0.8760528521653694	0.7480490523968785
5010	ortholog	0.4646005558948473	0.8820847374866921	0.9787234042553191
2567	ortholog	0.6207223150663546	0.5958278941918307	0.3553008595988539
5335	ortholog	0.9878260655877334	0.7044378763018255	0.9060240963855422
3059	ortholog	0.9105425572661168	0.8682380945315499	0.5463743676222597
2504	ortholog	0.5795729054549684	0.8340071825496066	0.864244741873805
3117	ortholog	-0.7474272178746479	0.6404932259709217	0.8424908424908425
2488	ortholog	0.6139407447956802	0.6104609103002641	0.7007672634271099
9115	ortholog	0.4054106915453803	0.6037854611249629	0.716390423572744
4337	ortholog	0.12931966415477347	0.35273086333794956	0.555921052631579
3155	ortholog	0.6654424509397749	0.8356099611989412	0.8538812785388128
3912	ortholog	0.9816643573258894	0.7376629026344083	0.9336538461538462
4275	ortholog	0.8205081318481359	0.3601371369210452	0.6666666666666666
3996	ortholog	0.9801130107425412	0.8877954824077245	0.7097855227882037
6739	ortholog	0.7876159511678322	0.7641330928429859	0.35901162790697677
137	ortholog	0.9858561378518814	0.9615971596641633	0.8311874105865522
6052	ortholog	0.6908679605054057	0.6985942391221706	0.9097222222222222
