	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
71	GO:0000386	GO:0000386,GO:0003674,GO:0003824,GO:0140098	16	0.0	0.0		77124	0.00020745811939214772
72	GO:0000400	GO:0000217,GO:0000400,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	42	105.0	42.0	0.4	77124	0.0005445775634043878
73	GO:0000401	GO:0000217,GO:0000400,GO:0000401,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	1	42.0	1.0	0.023809523809523808	77124	1.2966132462009232e-05
74	GO:0000402	GO:0000217,GO:0000400,GO:0000402,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	2	42.0	2.0	0.047619047619047616	77124	2.5932264924018465e-05
75	GO:0000403	GO:0000217,GO:0000403,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	17	105.0	17.0	0.1619047619047619	77124	0.00022042425185415693
76	GO:0000404	GO:0000217,GO:0000404,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0030983,GO:0032135,GO:0097159,GO:1901363	9	12.0	9.0	0.75	77124	0.00011669519215808309
77	GO:0000405	GO:0000217,GO:0000405,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	16	105.0	16.0	0.1523809523809524	77124	0.00020745811939214772
78	GO:0000406	GO:0000217,GO:0000406,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	6	105.0	6.0	0.057142857142857134	77124	7.779679477205539e-05
79	GO:0000497	GO:0000497,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:0140489,GO:1901363	4	4.0	4.0	1.0	77124	5.186452984803693e-05
80	GO:0000700	GO:0000700,GO:0003674,GO:0003824,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0140097	11	87.0	11.0	0.1264367816091954	77124	0.00014262745708210154
81	GO:0000701	GO:0000700,GO:0000701,GO:0003674,GO:0003824,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0140097	3	11.0	3.0	0.2727272727272727	77124	3.8898397386027695e-05
82	GO:0000702	GO:0000702,GO:0003674,GO:0003824,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0140097	20	87.0	20.0	0.2298850574712644	77124	0.00025932264924018465
83	GO:0000703	GO:0000702,GO:0000703,GO:0003674,GO:0003824,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0140097	10	20.0	10.0	0.5	77124	0.00012966132462009233
84	GO:0000704	GO:0000704,GO:0003674,GO:0003824,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0140097	1	87.0	1.0	0.011494252873563218	77124	1.2966132462009232e-05
85	GO:0000721	GO:0000721,GO:0003674,GO:0003824,GO:0016491,GO:0016614,GO:0016616	2	809.0	2.0	0.002472187886279357	77124	2.5932264924018465e-05
86	GO:0000772	GO:0000772,GO:0003674,GO:0005102,GO:0005186,GO:0005488,GO:0005515	12	37.0	12.0	0.32432432432432434	77124	0.00015559358954411078
87	GO:0000773	GO:0000773,GO:0003674,GO:0003824,GO:0008168,GO:0008170,GO:0008757,GO:0016740,GO:0016741	4	316.0	4.0	0.012658227848101266	77124	5.186452984803693e-05
