	0
GO:1990805	2
GO:0005779	33
GO:0031231	35
GO:0005628	66
GO:0042763	86
GO:0042764	76
GO:0020015	182
GO:0016234	138
GO:0016235	61
GO:0031414	26
GO:0031415	15
GO:0005801	111
GO:0012507	75
GO:0030134	137
GO:0030670	113
GO:0033106	9
GO:0055038	78
GO:0071556	48
GO:0098553	49
GO:0098576	66
GO:0031011	54
GO:0033202	64
GO:0005604	228
GO:0000127	16
GO:0009337	4
GO:0005940	47
GO:0031097	49
GO:0031105	33
GO:0032151	4
GO:0032152	4
GO:0032156	81
GO:0032161	42
GO:0032169	4
GO:0032175	4
GO:0036391	10
GO:0120104	14
GO:0005861	26
GO:0097542	83
GO:0005705	97
GO:0008278	40
GO:0055052	9
GO:0032587	78
GO:0005971	20
GO:0033596	10
GO:0019013	16
GO:0019028	106
GO:0044172	1
GO:0044177	18
GO:0044220	11
GO:0044423	262
GO:0071521	6
GO:0097574	25
GO:0097575	13
GO:1990463	2
GO:0031315	14
GO:0097196	6
GO:1990391	92
GO:0044322	18
GO:0008091	11
GO:0000974	49
GO:0120001	8
GO:0000940	52
GO:0000942	35
GO:0005827	15
GO:0005828	51
GO:0005880	14
GO:0042729	23
GO:1990498	30
GO:1990537	3
GO:1990941	1
GO:0005892	94
GO:0016528	181
GO:0016529	153
GO:0031306	66
GO:0031307	65
GO:0032592	177
GO:0033017	53
GO:0098573	187
GO:0046930	38
GO:0045179	153
GO:0005852	60
GO:0030688	23
GO:0002947	4
GO:0000314	176
GO:0005763	175
GO:0044165	34
GO:0060102	21
GO:0038143	2
GO:0005905	111
GO:0030119	97
GO:0030122	38
GO:0030125	72
GO:0030128	39
GO:0030131	63
GO:0030132	43
GO:0030669	109
GO:0045334	134
GO:0042101	31
GO:0042105	15
GO:0031520	34
GO:0031391	21
GO:0005749	23
GO:0045257	23
GO:0045273	44
GO:0045281	24
GO:0045283	27
GO:0016581	54
GO:0033186	18
GO:0090545	54
GO:0005671	50
GO:0008622	14
GO:0042575	101
GO:0005750	44
GO:0045275	44
GO:0098833	25
GO:0043590	19
GO:1990104	1
GO:1990178	1
GO:0005811	248
GO:0032936	4
GO:0032433	47
GO:0005656	30
GO:0031261	74
GO:0031298	27
GO:0036387	30
GO:0071162	44
GO:0005677	32
GO:0030869	3
GO:0001533	53
GO:0005917	22
GO:0036056	34
GO:0031201	113
GO:0044754	25
GO:0071953	11
GO:0032420	69
GO:0014704	104
GO:0005712	11
GO:0032300	26
GO:0005883	19
GO:0031310	29
GO:0033254	6
GO:0101031	92
GO:0020030	54
GO:0098993	22
GO:0005890	29
GO:0044327	14
GO:0090533	38
GO:0031089	14
GO:0042827	21
GO:0098826	6
GO:0071683	32
GO:0099617	13
GO:0042587	8
GO:0140268	15
GO:0101003	61
GO:0031237	8
GO:0098567	19
GO:0031463	58
GO:0009543	13
GO:0031978	13
GO:0034361	21
GO:0034385	22
GO:0005869	32
GO:0016282	17
GO:0033290	7
GO:0070993	21
GO:0000331	53
GO:0062159	53
GO:0000109	35
GO:0070522	5
GO:0070062	268
GO:1903561	366
GO:0014802	26
GO:0005795	228
GO:0005797	59
GO:0031985	159
GO:0005655	16
GO:0030677	44
GO:0030681	23
GO:1902555	72
GO:1905348	91
GO:0097512	12
GO:1990584	5
GO:0005863	11
GO:0032982	22
GO:0030915	27
GO:0106068	28
GO:0031904	52
GO:0097470	33
GO:0098684	14
GO:0098965	2
GO:0099535	13
GO:0031302	12
GO:0033093	6
GO:0009842	1
GO:0009843	1
GO:0033115	1
GO:0000164	24
GO:0000935	47
GO:0035838	58
GO:0061645	101
GO:1902716	14
GO:0035452	2
GO:0042170	130
GO:0031931	26
GO:0031932	34
GO:0038201	50
GO:0044292	31
GO:0000407	91
GO:1990072	18
GO:0001411	76
GO:0097197	10
GO:0034506	30
GO:0000938	23
GO:1990745	6
GO:0031467	7
GO:0030981	63
GO:0055028	53
GO:0001405	9
GO:0005744	42
GO:0031390	16
GO:0043198	75
