	0
GO:0007628	75
GO:0008049	113
GO:0008344	265
GO:0016545	19
GO:0019098	402
GO:0021700	1106
GO:0022607	7164
GO:0023052	10399
GO:0030534	541
GO:0034329	772
GO:0035176	105
GO:0040007	3107
GO:0044085	8413
GO:0045433	18
GO:0048065	20
GO:0048589	2334
GO:0050808	986
GO:0051124	99
GO:0051703	811
GO:0060074	28
GO:0060179	167
GO:0090659	78
GO:0098916	921
GO:0099536	1041
GO:0099537	944
GO:0009914	295
GO:0010817	1507
GO:0065008	12397
GO:0006635	158
GO:0009056	6187
GO:0009062	255
GO:0016042	657
GO:0016054	939
GO:0019395	203
GO:0030258	438
GO:0034440	213
GO:0044242	545
GO:0044248	5267
GO:0044282	1394
GO:0046395	930
GO:0055114	1715
GO:0072329	457
GO:1901575	5256
GO:0009698	198
GO:0009808	63
GO:0019439	1416
GO:0019748	978
GO:0046271	28
GO:0046274	8
GO:1901361	1536
GO:0010883	156
GO:0010884	55
GO:1905952	454
GO:1905954	237
GO:0003002	2379
GO:0007389	3172
GO:0009953	739
GO:0009967	3408
GO:0010647	4058
GO:0023056	4054
GO:0030510	341
GO:0030513	120
GO:0032872	481
GO:0048584	5369
GO:0051896	408
GO:0070302	485
GO:0080135	1627
GO:0090092	622
GO:0090100	223
GO:0090287	789
GO:1900744	73
GO:0007338	302
GO:0007339	62
GO:0008037	654
GO:0009566	403
GO:0009988	112
GO:0035036	79
GO:0043900	741
GO:0060046	24
GO:0080154	87
GO:2000241	1484
GO:0003008	4494
GO:0006869	603
GO:0006937	385
GO:0006942	161
GO:0007588	123
GO:0010876	739
GO:0010877	17
GO:0019915	152
GO:0030421	45
GO:0032368	317
GO:0032370	182
GO:0044057	1530
GO:0044058	79
GO:0045933	105
GO:0045989	30
GO:0051235	466
GO:0060456	33
GO:0071702	5049
GO:0090257	562
GO:1904478	28
GO:1904480	11
GO:1904729	21
GO:1904731	11
GO:0017158	58
GO:1903305	259
GO:0006511	1053
GO:0009057	2721
GO:0019941	1077
GO:0030163	1483
GO:0043632	1114
GO:0044257	1313
GO:0044265	2208
GO:0051603	1219
GO:1901565	2733
GO:0006575	543
GO:0006577	74
GO:0006578	29
GO:0009437	43
GO:0042398	169
GO:0044271	5100
GO:0045329	13
GO:1901566	5327
GO:0001558	1101
GO:0001933	823
GO:0008285	1305
GO:0009719	4822
GO:0009725	3330
GO:0009891	5299
GO:0009893	9938
GO:0010033	9684
GO:0010563	1084
GO:0010565	540
GO:0010566	50
GO:0010720	1450
GO:0010721	856
GO:0010769	1003
GO:0010770	383
GO:0010810	383
GO:0010811	245
GO:0010893	63
GO:0010975	1429
GO:0010977	355
GO:0014070	2589
GO:0019216	949
GO:0019218	228
GO:0022603	3324
GO:0022604	1489
GO:0030100	564
GO:0030111	817
GO:0030155	1466
GO:0030178	458
GO:0030308	373
GO:0031325	8381
GO:0031328	5181
GO:0031344	1892
GO:0031345	438
GO:0031400	1156
GO:0032269	2074
GO:0032344	10
GO:0032346	3
GO:0032347	9
GO:0032349	3
GO:0032350	138
GO:0032352	46
GO:0033993	2922
GO:0034622	2016
GO:0040008	2481
GO:0042127	3370
GO:0042326	906
GO:0043409	376
GO:0043549	1431
GO:0044060	136
GO:0045595	5149
GO:0045596	1611
GO:0045597	2310
GO:0045664	1860
GO:0045665	490
GO:0045785	765
GO:0045807	291
GO:0045834	367
GO:0045859	1322
GO:0045926	755
GO:0045936	1082
GO:0045940	75
GO:0046883	576
GO:0046885	78
GO:0046886	38
GO:0046887	304
GO:0046889	233
GO:0046890	527
GO:0048268	26
GO:0048545	712
GO:0050678	589
GO:0050680	235
GO:0050767	2396
GO:0050768	707
GO:0050790	3539
GO:0050810	182
GO:0051093	2651
GO:0051129	1880
GO:0051130	2899
GO:0051241	3190
GO:0051248	2201
GO:0051338	1616
GO:0051960	2872
GO:0051961	861
GO:0060284	3032
GO:0060828	596
GO:0062012	1055
GO:0062013	381
GO:0065003	2851
GO:0070372	464
GO:0070373	129
GO:0070848	1117
GO:0070849	73
GO:0070887	8437
GO:0071310	5752
GO:0071363	1042
GO:0071364	63
GO:0071495	3046
GO:0071559	319
GO:0071560	300
GO:0071900	824
GO:0090030	38
