	child_node	joint_count	joint_count_child	cond_prob
109	GO:0000320	3842.0	15.0	0.0039042165538781884
110	GO:0000321	9.0	9.0	1.0
111	GO:0000335	12.0	12.0	1.0
112	GO:0000336	0.0	0.0	
113	GO:0000337	15.0	12.0	0.8
114	GO:0000338	447.0	50.0	0.11185682326621924
115	GO:0000348	98.0	3.0	0.030612244897959183
116	GO:0000349	26.0	9.0	0.34615384615384615
117	GO:0000350	26.0	13.0	0.5
118	GO:0000352	0.0	0.0	
119	GO:0000353	0.0	0.0	
120	GO:0000354	33.0	4.0	0.12121212121212122
121	GO:0000365	877.0	37.0	0.04218928164196123
122	GO:0000366	3.0	2.0	0.6666666666666666
123	GO:0000372	17.0	16.0	0.9411764705882353
124	GO:0000373	908.0	32.0	0.03524229074889868
125	GO:0000374	908.0	1.0	0.0011013215859030838
126	GO:0000375	1057.0	929.0	0.8789025543992431
127	GO:0000376	929.0	17.0	0.01829924650161464
128	GO:0000377	929.0	908.0	0.9773950484391819
129	GO:0000378	44.0	2.0	0.045454545454545456
130	GO:0000379	35.0	5.0	0.14285714285714285
131	GO:0000380	877.0	51.0	0.05815279361459521
132	GO:0000381	240.0	160.0	0.6666666666666666
133	GO:0000387	167.0	52.0	0.31137724550898205
134	GO:0000388	26.0	4.0	0.15384615384615385
135	GO:0000389	59.0	12.0	0.2033898305084746
136	GO:0000390	12.0	11.0	0.9166666666666666
137	GO:0000393	167.0	26.0	0.15568862275449102
138	GO:0000394	1057.0	44.0	0.041627246925260174
139	GO:0000395	28.0	28.0	1.0
140	GO:0000398	884.0	877.0	0.9920814479638009
141	GO:0000409	9214.0	14.0	0.001519426958975472
142	GO:0000410	0.0	0.0	
143	GO:0000411	13.0	13.0	1.0
144	GO:0000412	2.0	1.0	0.5
145	GO:0000413	74.0	30.0	0.40540540540540543
146	GO:0000414	209.0	19.0	0.09090909090909091
147	GO:0000415	3.0	3.0	1.0
148	GO:0000416	9.0	9.0	1.0
149	GO:0000422	103.0	103.0	1.0
150	GO:0000423	37.0	26.0	0.7027027027027027
151	GO:0000424	19.0	0.0	0.0
