	child_node	joint_count	joint_count_child	cond_prob
165	GO:0001535	7.0	1.0	0.14285714285714285
166	GO:0001536	7.0	3.0	0.42857142857142855
167	GO:0001650	2881.0	290.0	0.10065949323151684
168	GO:0001651	2881.0	6.0	0.0020826102047900035
169	GO:0001652	2881.0	9.0	0.0031239153071850054
170	GO:0001669	1113.0	177.0	0.15902964959568733
171	GO:0001673	115.0	64.0	0.5565217391304348
172	GO:0001674	115.0	42.0	0.3652173913043478
173	GO:0001725	120.0	120.0	1.0
174	GO:0001726	570.0	195.0	0.34210526315789475
175	GO:0001739	7.0	7.0	1.0
176	GO:0001740	18.0	8.0	0.4444444444444444
177	GO:0001741	76.0	34.0	0.4473684210526316
178	GO:0001750	234.0	184.0	0.7863247863247863
179	GO:0001772	15351.0	58.0	0.0037782554882418084
180	GO:0001891	15351.0	67.0	0.0043645365122793305
181	GO:0001917	80392.0	103.0	0.0012812220121405115
182	GO:0001931	24.0	17.0	0.7083333333333334
183	GO:0001939	45.0	9.0	0.2
184	GO:0001940	45.0	11.0	0.24444444444444444
185	GO:0002079	12.0	5.0	0.4166666666666667
186	GO:0002080	42.0	42.0	1.0
187	GO:0002081	12.0	6.0	0.5
188	GO:0002095	31.0	3.0	0.0967741935483871
189	GO:0002096	7825.0	2.0	0.00025559105431309905
190	GO:0002102	1309.0	35.0	0.026737967914438502
191	GO:0002111	6080.0	0.0	0.0
192	GO:0002116	606.0	5.0	0.00825082508250825
193	GO:0002133	14985.0	2.0	0.0001334668001334668
194	GO:0002139	86.0	7.0	0.08139534883720931
195	GO:0002140	7.0	1.0	0.14285714285714285
196	GO:0002141	7.0	6.0	0.8571428571428571
197	GO:0002142	5.0	5.0	1.0
198	GO:0002144	3147.0	2.0	0.0006355258976803305
199	GO:0002167	14985.0	0.0	0.0
200	GO:0002169	2.0	2.0	1.0
201	GO:0002177	3318.0	16.0	0.004822182037371911
202	GO:0002178	2037.0	18.0	0.008836524300441826
203	GO:0002179	14.0	0.0	0.0
204	GO:0002180	0.0	0.0	
205	GO:0002185	724.0	0.0	0.0
206	GO:0002186	0.0	0.0	
207	GO:0002187	0.0	0.0	
208	GO:0002189	724.0	9.0	0.012430939226519336
209	GO:0002193	14985.0	3.0	0.0002002002002002002
210	GO:0002197	438.0	1.0	0.00228310502283105
211	GO:0002199	14985.0	11.0	0.0007340674007340674
212	GO:0002929	14985.0	0.0	0.0
