	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
43	GO:0000276	GO:0000276,GO:0005575,GO:0005622,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005753,GO:0016020,GO:0016469,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0033177,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0045259,GO:0045263,GO:0098796,GO:0098798,GO:0098800,GO:0110165	27	27.0	27.0	1.0	82350	0.0003278688524590164
44	GO:0000306	GO:0000306,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0005774,GO:0016020,GO:0019898,GO:0031090,GO:0031312,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0098588,GO:0098805,GO:0110165	18	21.0	18.0	0.8571428571428571	82350	0.0002185792349726776
45	GO:0000307	GO:0000307,GO:0005575,GO:0005622,GO:0032991,GO:0061695,GO:1902494,GO:1902554,GO:1902911,GO:1990234	85	183.0	85.0	0.4644808743169399	82350	0.001032179720704311
46	GO:0000308	GO:0000307,GO:0000308,GO:0005575,GO:0005622,GO:0005737,GO:0032991,GO:0061695,GO:0110165,GO:1902494,GO:1902554,GO:1902911,GO:1990234	2	36.0	2.0	0.05555555555555555	82350	2.4286581663630843e-05
47	GO:0000311	GO:0000311,GO:0000313,GO:0000315,GO:0005575,GO:0005622,GO:0005737,GO:0005840,GO:0009532,GO:0009536,GO:0009547,GO:0015934,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044391,GO:0110165,GO:1990904	3	3.0	3.0	1.0	82350	3.6429872495446266e-05
48	GO:0000312	GO:0000312,GO:0000313,GO:0000314,GO:0005575,GO:0005622,GO:0005737,GO:0005840,GO:0009532,GO:0009536,GO:0009547,GO:0015935,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044391,GO:0110165,GO:1990904	1	1.0	1.0	1.0	82350	1.2143290831815421e-05
49	GO:0000313	GO:0000313,GO:0005575,GO:0005622,GO:0005840,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0110165	438	1324.0	438.0	0.3308157099697885	82350	0.005318761384335155
50	GO:0000314	GO:0000313,GO:0000314,GO:0005575,GO:0005622,GO:0005840,GO:0015935,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0110165,GO:1990904	176	176.0	176.0	1.0	82350	0.0021372191863995144
51	GO:0000315	GO:0000313,GO:0000315,GO:0005575,GO:0005622,GO:0005840,GO:0015934,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0110165,GO:1990904	250	250.0	250.0	1.0	82350	0.0030358227079538553
52	GO:0000322	GO:0000322,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	304	2477.0	304.0	0.12272910779168347	82350	0.003691560412871888
